,C_value,Accuracy
0,0.1,0.43770683063586746
1,0.2,0.4488179834765004
2,0.30000000000000004,0.447176093713378
3,0.4,0.45089839139648547
4,0.5,0.4504775769892289
5,0.6,0.44925146279361067
6,0.7000000000000001,0.4480211060966136
7,0.8,0.44885005956889235
8,0.9,0.4504910903993585
9,1.0,0.4488357080908674
10,1.1,0.4471929802598497
11,1.2000000000000002,0.44390246489330104
12,1.3000000000000003,0.44678144719372437
13,1.4000000000000001,0.4459583914938543
14,1.5000000000000002,0.4463707626278749
15,1.6,0.44554770692800477
16,1.7000000000000002,0.44308530696583953
17,1.8000000000000003,0.4426720977639236
18,1.9000000000000001,0.44061615029860945
19,2.0,0.43979479159929086
20,2.1,0.4410319050013527
21,2.2,0.44267124926364776
22,2.3000000000000003,0.44185242563277594
23,2.4000000000000004,0.44185073906460487
24,2.5000000000000004,0.4418490524964338
25,2.6,0.44102684529683944
26,2.7,0.440617847299161
27,2.8000000000000003,0.44143583286213744
28,2.9000000000000004,0.44184566892771127
29,3.0000000000000004,0.4422538184251139
30,3.1,0.44266450299096344
31,3.2,0.44143162165790006
32,3.3000000000000003,0.4401978918245607
33,3.4000000000000004,0.4385526393574766
34,3.5000000000000004,0.4381411167237318
35,3.6,0.4373189095241374
36,3.7,0.4360843416229028
37,3.8000000000000003,0.43690654882249713
38,3.9000000000000004,0.43731975802441314
39,4.0,0.4385543259256477
40,4.1,0.4381436517921786
41,4.2,0.4381436517921786
42,4.3,0.43855770949437034
43,4.3999999999999995,0.438147883861177
44,4.5,0.4373265251618584
45,4.6,0.43855940649492187
46,4.7,0.43814957042934805
47,4.8,0.43773804779560316
48,4.9,0.43732567666158256
