,C_value,Accuracy
0,0.1,0.6868801962805582
1,0.2,0.6865377305271335
2,0.30000000000000004,0.6882512341338911
3,0.4,0.6889361696572862
4,0.5,0.6879081869854679
5,0.6,0.6885948807517688
6,0.7000000000000001,0.6920195443108341
7,0.8,0.6913369604749807
8,0.9,0.6906502687169527
9,1.0,0.6896216966170442
10,1.1,0.6882512441752556
11,1.2000000000000002,0.6896211091972271
12,1.3000000000000003,0.6885942973484973
13,1.4000000000000001,0.6879081910020137
14,1.5000000000000002,0.688251827578527
15,1.6,0.6885942973484973
16,1.7000000000000002,0.6896222840368613
17,1.8000000000000003,0.6885948827600418
18,1.9000000000000001,0.6885942953402246
19,2.0,0.6879111200680083
20,2.1,0.687226186552886
21,2.2,0.6865406676262195
22,2.3000000000000003,0.6861970270331603
23,2.4000000000000004,0.6858539738599185
24,2.5000000000000004,0.6858539738599185
25,2.6,0.6858533884483743
26,2.7,0.6851690423530691
27,2.8000000000000003,0.6851678695217076
28,2.9000000000000004,0.6851678695217076
29,3.0000000000000004,0.6851678695217076
30,3.1,0.6844835234264026
31,3.2,0.6851690423530691
32,3.3000000000000003,0.6861958562100717
33,3.4000000000000004,0.6858539758681914
34,3.5000000000000004,0.6851684569415248
35,3.6,0.6851684569415248
36,3.7,0.6858545632880085
37,3.8000000000000003,0.6858545632880085
38,3.9000000000000004,0.6861970290414332
39,4.0,0.6858539758681913
40,4.1,0.6855115101147666
41,4.2,0.6861970290414332
42,4.3,0.6861970290414332
43,4.3999999999999995,0.6861970290414332
44,4.5,0.6865383239717693
45,4.6,0.6865383239717693
46,4.7,0.6858528050451027
47,4.8,0.6855085790404993
48,4.9,0.6858516322137411
