Trained On,tested_SC_cAMP,tested_SC_VitC,tested_ARPE
SC_cAMP,0.45869297163995065,0.18120473996050032,0.2900198643742722
SC_VitC,0.3260172626387176,0.6933015141540487,0.6793616001095966
ARPE,0.33177147554459513,0.6840849242922976,0.7056647715596959
