,C_value,Accuracy
0,2,0.4426703655746794
1,3,0.4457123178516332
2,4,0.4466997338726301
3,5,0.4407786476071007
4,6,0.438149062450324
5,7,0.43453030361395467
6,8,0.4283652433925302
7,9,0.4306658811808858
8,10,0.427543111353437
9,11,0.4224452381904939
10,12,0.42080181918267323
11,13,0.4173497638697813
12,14,0.41899368988649294
13,15,0.4183365047121348
14,16,0.41176124046959933
15,17,0.41134927926204573
16,18,0.41069168850834864
17,19,0.4068287869630839
