,C_value,Accuracy
0,1,0.3757536004346935
1,3,0.3864408083231388
2,5,0.39819364841502647
3,7,0.40600435734467
4,9,0.4074038367248886
5,11,0.41389615461838236
6,13,0.41726678397011013
7,15,0.4216259105174228
8,17,0.42532433810074
9,19,0.4285301559567459
10,21,0.4277908017358838
11,23,0.428942353990638
12,25,0.42713240018456666
13,27,0.4332984061004714
14,29,0.43428504540217816
15,31,0.43140749931934436
16,33,0.4309146189095542
17,35,0.4345313844274846
18,37,0.43280457966291663
19,39,0.4326410858626108
20,41,0.433051020117775
21,43,0.43790177723061074
22,45,0.4354358545438191
23,47,0.43264041010071963
24,49,0.43387436814499536
25,51,0.4363406623883437
26,53,0.435517854531812
27,55,0.4357643962218063
28,57,0.43773797911387546
29,59,0.43625805385081334
30,61,0.43436741747442814
31,63,0.4352723605490973
32,65,0.4374906604824013
33,67,0.4349428387927895
34,69,0.43708059116373466
35,71,0.43535415817791306
36,73,0.4375734041667553
37,75,0.4361755468261558
38,77,0.4352705698120253
39,79,0.43798357466501053
40,81,0.4400389889587145
41,83,0.43880604457116246
42,85,0.43699754363510435
43,87,0.43683273197274025
44,89,0.4375717485209594
45,91,0.43987387322988436
46,93,0.43971031174507197
47,95,0.4393813644877457
48,97,0.43929811401669044
49,99,0.4384768606541397
50,101,0.4379015743992807
51,103,0.43683300226638727
52,105,0.4353526377900354
53,107,0.43469494571788114
54,109,0.43346230536902147
55,111,0.4361744317676539
56,113,0.43411982857708054
57,115,0.4361743980226086
58,117,0.4365023318731744
59,119,0.4361733844214323
60,121,0.4360092486876016
61,123,0.43617331701466266
62,125,0.4369956853801679
63,127,0.43831106935783426
64,129,0.4366671095960772
65,131,0.43806466289798446
66,133,0.43650283882651786
67,135,0.4358448764607166
68,137,0.43625622959088545
69,139,0.43584541704801066
70,141,0.4340363754691111
71,143,0.43526952257689844
72,145,0.4367490761445355
73,147,0.4366679880782038
74,149,0.43642070327509597
75,151,0.43740703842701567
76,153,0.43584575472065357
77,155,0.4365854808313567
78,157,0.439051944133216
79,159,0.43642141272648516
80,161,0.43773608716944123
81,163,0.4369967326986159
82,165,0.43855842176212734
83,167,0.4388870650640825
84,169,0.43872252391755495
85,171,0.4374896133305956
86,173,0.4379009326323981
87,175,0.43732520713647566
88,177,0.43913404588404525
89,179,0.4391343499782849
90,181,0.4377365601555498
91,183,0.4392161475237796
92,185,0.439544824654101
93,187,0.4388054701832756
94,189,0.439052146881225
95,191,0.4392985195127084
96,193,0.4387232670862157
97,195,0.4395453314408023
98,197,0.43814784571230697
99,199,0.4397095010585468
