,K,Silhouette_Score
0,9,0.3367833444761818
1,10,0.3373327708320088
2,11,0.34848550970144787
3,12,0.3265111851847965
4,13,0.3347890587872974
5,14,0.3407414912887633
6,15,0.3178406883577228
7,16,0.32087911123301704
8,17,0.3238626162272631
9,18,0.2753763759084766
10,19,0.2782951283239767
11,20,0.3349731265414626
