,eps_values,Clusters,Noise_points,Homogenity,V_Measure,Silhouette
0,0.5,366,3102,0.26648992745343597,0.42083228879565454,0.15358759149265389
1,0.6,323,2762,0.2690612740200061,0.4240319668217447,0.19337811992066292
2,0.7,315,2463,0.27597103051037347,0.43256629486327486,0.21725217787709117
3,0.7999999999999999,301,2253,0.279675912996866,0.43710428579044597,0.22779956704417179
4,0.8999999999999999,306,2047,0.28455260770438096,0.4430376864251653,0.24174838190205739
5,0.9999999999999999,308,1931,0.2871762593873131,0.4462112430880399,0.24761086843461536
6,1.0999999999999999,317,1795,0.2911872784530389,0.45103802262040255,0.2548945959716805
7,1.1999999999999997,320,1683,0.2940709531179502,0.45448968993456207,0.25774221608649955
8,1.2999999999999998,318,1588,0.29649113345666256,0.45737471827696585,0.2610101237728987
9,1.4,203,1469,0.20062018748476024,0.3341942598933799,0.2066662864725723
10,1.4999999999999998,167,1324,0.19956696580809227,0.3327316798419058,0.23623919710357313
11,1.5999999999999996,149,1221,0.1988895466680061,0.33178960851025285,0.24953151767580087
12,1.6999999999999997,151,1116,0.20083547018592243,0.33449290127119174,0.25704127799912635
13,1.7999999999999998,152,1037,0.18164996364070246,0.3074513929337127,0.23461726742853198
14,1.8999999999999997,112,940,0.1343401123347778,0.2368603752507167,0.22147341924610675
15,1.9999999999999996,95,859,0.13263949337744463,0.23421308219073975,0.22964841549854945
16,2.0999999999999996,70,796,0.0854356776775625,0.1574219079666955,0.2764951506363828
17,2.1999999999999997,63,724,0.08413400512399899,0.1552096045808951,0.2851104092422678
18,2.3,53,662,0.08221264697915723,0.15193436744366673,0.29489147968809304
19,2.3999999999999995,55,614,0.081450553680653,0.15063204397730598,0.29022539656373175
20,2.4999999999999996,45,564,0.08025462554454812,0.14858464596546833,0.302862682911293
21,2.5999999999999996,39,526,0.07922279506131823,0.14681453250219206,0.3131781476621714
22,2.6999999999999993,35,477,0.047527175604343906,0.0907416565626077,0.38912356942044196
23,2.7999999999999994,37,430,0.047026743502822314,0.08982911619906596,0.39146442826995786
24,2.8999999999999995,32,394,0.04587793858442366,0.08773096150496987,0.3957710670751425
25,2.9999999999999996,32,366,0.045691000804512494,0.08738910590099691,0.3982458525190867
26,3.0999999999999996,28,333,0.04470657773954911,0.08558685987462922,0.40553444919630466
27,3.1999999999999993,23,315,0.044020338604544226,0.084328507744174,0.4143148375884418
28,3.2999999999999994,21,293,0.04299435465363926,0.08244407932182328,0.4243698483338632
29,3.3999999999999995,21,268,0.04239668302226474,0.08134462381315766,0.42715144155763934
30,3.499999999999999,20,251,0.04201627407156054,0.0806441801669502,0.4300759125873357
31,3.599999999999999,24,228,0.04209039819929143,0.08078070438423132,0.4294968274825128
32,3.6999999999999993,25,208,0.04181425554460588,0.08027199728179489,0.42952335884993564
33,3.7999999999999994,25,199,0.04171222434961295,0.08008396824882369,0.4325665305643647
